test_name,total_runs,passed,failed,label
Serilog.Tests.Core.SecondaryLoggerSinkTests.IndependentChildLoggerIsNotDisposedWhenPrimaryIsDisposedAsync,100,100,0,stable
Serilog.Tests.MethodOverloadConventionTests.ValidateIsEnabledMethods(loggerType: typeof(Serilog.ILogger)),100,100,0,stable
Serilog.Tests.Core.AuditSinkTests.ExceptionsThrownByAuditSinksArePropagatedFromChildLoggers,100,100,0,stable
Serilog.Tests.Formatting.Json.JsonFormatterTests.PropertyTokensWithoutFormatStringsAreNotIncludedAsRenderings,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelInheritanceScenarios(eventLevel: Verbose, rootMinimumLevelIncrement: null, sinkRestrictedToIncrement: null, childMinimumLevelIncrement: null, eventShouldGetToChild: False)",100,100,0,stable
"Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.PaddingIsApplied(n: 15, format: "",5"", expected: ""   15"")",100,100,0,stable
Serilog.Tests.Core.MessageTemplateTests.AnObjectIsRenderedInSimpleNotation,100,100,0,stable
Serilog.Tests.Capturing.PropertyValueConverterTests.ByDefaultAScalarDictionaryIsADictionaryValue,100,100,0,stable
Serilog.Tests.Context.LogContextTests.MoreNestedPropertiesOverrideLessNestedOnes,100,100,0,stable
Serilog.Tests.Capturing.PropertyValueConverterTests.ItemPropertiesNotAreIgnoredWhenDestructuring,100,100,0,stable
"Serilog.Tests.Core.LoggerExtensionsTests.ShouldNotEnrichLogEventsWhenMinLevelIsHigherThanProvidedLogLevel(logMinLevel: Debug, propertyLogLevel: Verbose)",100,100,0,stable
"Serilog.Tests.MethodOverloadConventionTests.ILoggerDefaultMethodsShouldBeInSyncWithLogger(defaultInterfaceMethod: Void Write(Serilog.Events.LogEventLevel, System.Exception, System.String))",100,100,0,stable
"Serilog.Tests.MethodOverloadConventionTests.LoggerValidateConventions(setName: ""Debug"")",100,100,0,stable
Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.AlignmentAndWidthCanBeCombined,100,100,0,stable
Serilog.Tests.Core.LoggerTests.ASingleSinkIsDisposedWhenLoggerIsDisposedAsync,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelOverrideInheritanceScenarios(defaultRootLevel: Verbose, rootOverrideSource: ""Root.N1.xx"", rootOverrideLevelIncrement: 1, childOverrideSource: null, childOverrideLevelIncrement: 0, eventShouldGetToChild: True)",100,100,0,stable
Serilog.Tests.Configuration.LoggerConfigurationTests.EnrichersWithPropertyFactoryExecuteInConfigurationOrder,100,100,0,stable
Serilog.Tests.Formatting.Json.JsonValueFormatterTests.ObjectsAreFormattedAsJsonStringViaToString,100,100,0,stable
Serilog.Tests.Formatting.Json.JsonValueFormatterTests.DateTimesFormatAsIso8601,100,100,0,stable
"Serilog.Tests.MethodOverloadConventionTests.ILoggerDefaultMethodsShouldBeInSyncWithLogger(defaultInterfaceMethod: Void Error[T0,T1,T2](System.Exception, System.String, T0, T1, T2))",100,100,0,stable
Serilog.Tests.Configuration.LoggerConfigurationTests.ExceptionsThrownBySinksAreNotPropagated,100,100,0,stable
