test_name,total_runs,passed,failed,label
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.WhenImageNameGetsAssigned(serializable: DockerImageFixtureSerializable { Image = DockerImage { Digest = ""sha256:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""···, FullName = ""myregistry.azurecr.io/foo/bar/baz:1.0.0@sha256:aaa""···, Platform = null, Registry = ""myregistry.azurecr.io"", Repository = ""foo/bar/baz"", ··· } }, image: ""myregistry.azurecr.io/foo/bar/baz:1.0.0@sha256:aaa""···, fullName: ""myregistry.azurecr.io/foo/bar/baz:1.0.0@sha256:aaa""···)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.ReadFileFromContainerTest.AccessNotExistingFileThrowsFileNotFoundException,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: "".git/HEAD"", expected: True)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+CredsHelperProviderTest.ShouldGetAuthConfig(credHelperName: ""password"", expectedUsername: ""username"", expectedPassword: ""password"", expectedIdentityToken: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerHostCustomConfiguration(propertyName: ""DOCKER_HOST"", propertyValue: ""tcp://127.0.0.1:2375/"", expected: ""tcp://127.0.0.1:2375/"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.AppendDictionaryCompose(oldValue: [], newValue: [], expected: [])",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainersContainerTest+WithConfiguration.ShouldThrowArgumentExceptionWhenContainerBuilderHasNoImage(image: null),100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.OverwriteEnumerableCompose(oldValue: [""old""], newValue: [""new""], expected: [""new""])",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: ""lipsum/temp"", expected: True)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerEndpointAuthenticationProviderTest.AuthProviderShouldBeApplicable(authProvider: EnvironmentEndpointAuthenticationProvider { LastException = null }, isApplicable: True)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.WhenImageNameGetsAssigned(serializable: DockerImageFixtureSerializable { Image = DockerImage { Digest = null, FullName = ""baz:latest"", Platform = null, Registry = null, Repository = ""baz"", ··· } }, image: ""baz:latest"", fullName: ""baz:latest"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerAuthConfigCustomConfiguration(configuration: """", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: ""README.md"", expected: True)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.CombineReadOnlyLists(oldValue: [""1"", ""2"", ""3""], newValue: [""2"", ""3"", ""4""], expected: [""1"", ""2"", ""3"", ""2"", ""3"", ···])",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetRyukContainerImageCustomConfiguration(propertyName: ""TESTCONTAINERS_RYUK_CONTAINER_IMAGE"", propertyValue: ""alpine:latest"", expected: ""alpine:latest"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest.GetHostnameFromHubImageNamePrefix(repository: ""baz/foo/bar"", tag: """")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+Base64ProviderTest.ShouldGetNull(jsonDocument: ""{\""auths\"":{\""https://index.docker.io/v1/\"":{\""ide""···, isApplicable: True, logMessage: null)",100,100,0,stable
